,track_id,track_name,track_album,track_artist,track_duration_ms,track_popularity
277,277,Meet Me Where They Play the Blues - 2014 Remastered Version,131,800,229360,34
278,278,This Love Of Mine - 1998 Remastered,114,0,213933,31
279,279,My Romance,123,41,409400,31
280,280,Dancing On The Ceiling - Remastered,114,0,177333,30
281,281,It Never Entered My Mind,116,175,145440,31
282,282,I'll Never Be The Same - Remastered,114,0,185866,30
283,283,Ill Wind - Remastered,114,0,226306,30
284,284,What Is This Thing Called Love,123,41,374333,31
285,285,Sonet: 1909,132,801,54533,30
286,286,Easy Street,116,175,194826,32
287,287,Jingle Bells - Single Version,133,802,100053,26
288,288,I Love You,116,175,113986,31
289,289,Christmas Bells,134,803,151666,30
290,290,If I Had You,130,799,183373,26
291,291,Summertime,129,179,368266,26
292,292,'S Wonderful,116,175,95373,31
293,293,Laura,116,175,102791,31
294,294,Hey There - Single Version,135,163,166720,26
295,295,Gone With the Wind - Remastered,116,175,126186,31
296,296,Thirteen Women (And Only One Man In Town),136,804,172066,32
297,297,"Teach Me Tonight - Original Edited Concert - Live at Sunset School, Carmel-by-the-Sea, CA, September 1955",137,115,224733,31
298,298,I Get A Kick Out Of You,138,127,381373,31
299,299,A Room With A View,139,805,249426,24
300,300,Tutti Frutti,140,579,117560,51
301,301,"I Could Have Danced All Night - from ""My Fair Lady""",141,166,209200,43
302,302,Evening In Paris,142,806,201613,45
303,303,Ev'ry Time We Say Goodbye,143,4,213920,48
304,304,The Thrill Is Gone - Vocal Version,144,197,171466,46
305,305,Love Me,145,579,163786,46
306,306,Black Coffee - Single Version,146,18,186333,44
307,307,Good Morning Heartache,147,269,188160,44
308,308,Devil or Angel,148,807,146933,40
309,309,Sink the Bismark,149,162,194933,41
310,310,Bags' Groove,150,808,186066,46
311,311,Tenderly,151,269,199186,45
312,312,Standing On The Corner,152,1,171240,44
313,313,North to Alaska,149,162,170240,40
314,314,Blue Lester,153,96,205373,46
315,315,My Buddy - Vocal Version,144,197,199840,46
316,316,Crazy Arms,154,95,152906,41
317,317,Love For Sale,151,269,176280,44
318,318,Everything I Have Is Yours - 10'' Version,151,269,224533,44
319,319,I Love Paris,143,4,299960,46
320,320,God Bless The Child - 1956 Version,155,269,238120,43
321,321,Corner Pocket,156,209,315000,40
322,322,O Sole Mio (My Sunshine),157,809,162706,42
323,323,April In Paris,156,209,228000,39
324,324,Man Smart (Woman Smarter),158,143,214480,40
325,325,"Arrivederci, Roma",157,809,184266,41
326,326,The Star-Crossed Lovers (aka Pretty Girl),159,188,240000,40
327,327,Volga Boatman,160,810,232506,41
328,328,It Could Happen To You,161,811,224320,37
329,329,The Train Kept A Rollin',162,812,139453,41
330,330,Tasty Pudding,163,26,200360,38
331,331,Matilda,164,143,215837,44
332,332,Dark As A Dungeon,165,74,171466,34
333,333,Rock-A-Bye Your Baby With A Dixie Melody,166,813,156066,35
334,334,Wouldn't It Be Loverly,141,166,236306,37
335,335,I'll Fly Away,167,814,152093,35
336,336,I Can't Quit You Baby,168,815,219559,42
337,337,Too Marvelous For Words - Remastered 1998,169,0,149440,43
338,338,Rip It Up,145,579,112706,44
339,339,Jeep's Blues - Live,170,188,298066,36
340,340,Trying to Get to You,140,579,150720,41
341,341,A Simple Tune,161,811,251600,35
342,342,Banana Split For My Baby - Remastered,171,187,151293,38
343,343,We Shall Overcome,172,791,167398,38
344,344,It Never Entered My Mind - Remastered,173,816,243252,40
345,345,Autumn Leaves (with Paul Weston & His Music From Hollywood),174,37,183706,38
346,346,"Oh, Marie",171,187,148000,36
347,347,Blue Room - Take 2,163,26,180693,38
348,348,Come Rain Or Come Shine,175,257,221293,37
349,349,Smoke Gets In Your Eyes,176,127,204440,41
350,350,The Christmas Waltz - Alternate Version/Remastered 1999,177,0,179333,55
351,351,I Believe,178,579,125826,55
352,352,Personality,179,817,169626,52
353,353,Let's Call The Whole Thing Off,180,4,251600,56
354,354,Blue Suede Shoes,181,818,134445,55
355,355,It Is No Secret (What God Can Do),178,579,236440,53
356,356,I Couldn't Sleep A Wink Last Night - Remastered,182,0,205466,53
357,357,I Walk the Line,183,529,163045,48
358,358,Eddie My Love - 1956 #14 Billboard chart hit,184,67,135066,49
359,359,Rip It Up,185,819,141400,53
360,360,Oh Boy!,186,820,128960,51
361,361,Renunciación,187,44,177466,55
362,362,Since I Fell For You - Rudy Van Gelder Edition / 2007 / Digital Remaster,188,821,339333,52
363,363,My Funny Valentine - Rudy Van Gelder Remaster,189,797,358200,56
364,364,St. Thomas,190,79,407600,45
365,365,Maybe Baby,186,820,122600,50
366,366,Not Fade Away,186,820,142773,50
367,367,On The Sunny Side Of The Street,191,269,179493,50
368,368,"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso",192,12,561813,51
369,369,School Day (Ring Ring Goes The Bell),193,345,160693,50
370,370,I Know Why (And So Do You),194,822,287613,47
371,371,In A Sentimental Mood,195,4,168346,49
372,372,Stardust,196,616,195573,48
373,373,"Rudolph, The Red-Nosed Reindeer",197,823,168106,48
374,374,Rock Island Line,183,529,129585,47
375,375,In A Mellow Tone,195,4,310533,49
376,376,Speedo,198,824,139066,41
377,377,Please Send Me Someone To Love,194,822,588840,46
378,378,Drown in My Own Tears,199,207,201866,48
379,379,Boppin' the Blues,181,818,167840,47
380,380,Mary's Boy Child,200,143,262218,48
381,381,Love Is Here To Stay,180,4,237813,46
382,382,When You're Smiling/The Sheik Of Araby,201,187,240666,45
383,383,She's A Sweet One,202,825,181786,52
384,384,Bye Bye Blackbird,203,26,474626,44
385,385,Media Vuelta,204,44,131266,38
386,386,Fine And Mellow,191,269,196346,45
387,387,Just One Of Those Things - Take 8 - Master Take,205,269,333200,44
388,388,Three Cigarettes In An Ashtray,206,178,133933,39
389,389,Esta Tristeza Mía,187,44,155573,38
390,390,Three O'clock Blues,207,168,183293,43
391,391,A Tisket A Tasket,208,4,157240,47
392,392,A Fine Romance,180,4,234986,47
393,393,(Let Me Be Your) Teddy Bear,209,579,107186,47
394,394,Stompin' At The Savoy,194,822,189240,44
395,395,Lullaby Of Birdland,208,4,168773,47
396,396,Yesterdays,191,269,205133,44
397,397,April In Paris,210,102,187394,43
398,398,"Lover, Come Back To Me",191,269,195786,44
399,399,Body And Soul,211,269,378400,44
400,400,Return To Me (Ritorna-Me) - 1997 Remaster,212,1,144800,51
401,401,"Générique - BOF ""Ascenseur pour l'échafaud""",213,26,168512,54
402,402,The First Noel,214,20,228253,47
403,403,I'm a Fool to Want You,215,269,203266,54
404,404,Manhattan,216,826,259706,52
405,405,Bo Diddley,217,827,149013,51
406,406,White Christmas (with Percy Faith & His Orchestra),214,20,211840,46
407,407,Blue Christmas,214,20,181360,46
408,408,Reet Petite,218,193,169240,60
409,409,Un Mundo Raro,219,33,228440,54
410,410,One For Daddy-O - Remastered,220,828,505453,50
411,411,"I Want You, I Need You, I Love You",221,579,159920,52
412,412,Moon River,222,176,160693,41
413,413,Buona Sera - 1998 Digital Remaster,212,1,141920,48
414,414,Blues Walk,223,829,403200,52
415,415,Didn't Know About You,224,750,212813,42
416,416,Cool Struttin',225,830,563613,50
417,417,The Twelfth Of Never,226,20,147720,45
418,418,Joy To The World,227,831,150400,45
419,419,Autumn Leaves,220,828,659520,49
420,420,Entrega Total,228,44,150333,40
421,421,Guess Things Happen That Way,229,529,110675,47
422,422,I Loves You Porgy - 2013 Remastered Version,230,249,249781,51
423,423,Love For Sale - Remastered,220,828,424640,47
424,424,Fair Weather - Remastered,231,832,344066,47
425,425,Rock And Roll Music,232,345,151773,50
426,426,Blue Moon,233,175,153253,51
427,427,Polovetsian Dances from Prince Igor: Introduzione,234,774,136960,46
428,428,Splanky,235,209,217373,48
429,429,Junker's Blues,236,833,192706,51
430,430,Tammy,237,834,206226,51
431,431,The Star Carol,238,74,146066,42
